Season,TeamID,ConfAbbrev,conference_tourny_wins,conference_tourny_losses
2018,1195,a_sun,2.0,1.0
2018,1239,a_sun,1.0,1.0
2018,1244,a_sun,0.0,1.0
2018,1252,a_sun,3.0,0.0
2018,1312,a_sun,0.0,1.0
2018,1316,a_sun,1.0,1.0
2018,1367,a_sun,0.0,1.0
2018,1391,a_sun,0.0,1.0
2018,1172,a_ten,3.0,0.0
2018,1173,a_ten,0.0,1.0
2018,1182,a_ten,0.0,1.0
2018,1200,a_ten,0.0,1.0
2018,1203,a_ten,1.0,1.0
2018,1206,a_ten,1.0,1.0
2018,1247,a_ten,0.0,1.0
2018,1269,a_ten,1.0,1.0
2018,1348,a_ten,2.0,1.0
2018,1350,a_ten,1.0,1.0
2018,1382,a_ten,1.0,1.0
2018,1386,a_ten,1.0,1.0
2018,1387,a_ten,1.0,1.0
2018,1433,a_ten,1.0,1.0
2018,1153,aac,3.0,0.0
2018,1163,aac,0.0,1.0
2018,1187,aac,0.0,1.0
2018,1222,aac,2.0,1.0
2018,1272,aac,2.0,1.0
2018,1374,aac,1.0,1.0
2018,1378,aac,0.0,1.0
2018,1396,aac,1.0,1.0
2018,1408,aac,0.0,1.0
2018,1409,aac,0.0,1.0
2018,1416,aac,1.0,1.0
2018,1455,aac,1.0,1.0
2018,1130,acc,2.0,1.0
2018,1155,acc,1.0,1.0
2018,1181,acc,1.0,1.0
2018,1199,acc,0.0,1.0
2018,1210,acc,0.0,1.0
2018,1257,acc,1.0,1.0
2018,1274,acc,0.0,1.0
2018,1301,acc,0.0,1.0
2018,1314,acc,3.0,1.0
2018,1323,acc,2.0,1.0
2018,1338,acc,0.0,1.0
2018,1393,acc,1.0,1.0
2018,1438,acc,3.0,0.0
2018,1439,acc,0.0,1.0
2018,1448,acc,0.0,1.0
2018,1107,aec,0.0,1.0
2018,1127,aec,0.0,0.0
2018,1216,aec,1.0,1.0
2018,1262,aec,0.0,1.0
2018,1263,aec,0.0,1.0
2018,1306,aec,0.0,1.0
2018,1392,aec,1.0,1.0
2018,1420,aec,3.0,0.0
2018,1436,aec,2.0,1.0
2018,1139,big_east,1.0,1.0
2018,1166,big_east,0.0,1.0
2018,1177,big_east,0.0,1.0
2018,1207,big_east,0.0,1.0
2018,1266,big_east,1.0,1.0
2018,1344,big_east,2.0,1.0
2018,1371,big_east,0.0,1.0
2018,1385,big_east,1.0,1.0
2018,1437,big_east,3.0,0.0
2018,1462,big_east,1.0,1.0
2018,1170,big_sky,0.0,1.0
2018,1186,big_sky,2.0,1.0
2018,1225,big_sky,0.0,1.0
2018,1226,big_sky,0.0,1.0
2018,1285,big_sky,3.0,0.0
2018,1286,big_sky,0.0,1.0
2018,1294,big_sky,2.0,1.0
2018,1315,big_sky,1.0,1.0
2018,1319,big_sky,0.0,1.0
2018,1340,big_sky,1.0,1.0
2018,1381,big_sky,2.0,1.0
2018,1451,big_sky,0.0,1.0
2018,1144,big_south,0.0,1.0
2018,1149,big_south,1.0,1.0
