TeamID,TeamName,odds_to_win,odds_to_final4
1101,Abilene Chr,100000,100000
1102,Air Force,100000,100000
1103,Akron,100000,100000
1104,Alabama,25000,4000
1105,Alabama A&M,100000,100000
1106,Alabama St,100000,100000
1107,Albany NY,100000,100000
1108,Alcorn St,100000,100000
1109,Alliant Intl,100000,100000
1110,American Univ,100000,100000
1111,Appalachian St,100000,100000
1112,Arizona,1200,350
1113,Arizona St,50000,8000
1114,Ark Little Rock,100000,100000
1115,Ark Pine Bluff,100000,100000
1116,Arkansas,25000,5000
1117,Arkansas St,100000,100000
1118,Armstrong St,100000,100000
1119,Army,100000,100000
1120,Auburn,6000,800
1120,Auburn,10000,1200
1121,Augusta,100000,100000
1122,Austin Peay,100000,100000
1123,Ball St,100000,100000
1124,Baylor,100000,100000
1125,Belmont,100000,100000
1126,Bethune-Cookman,100000,100000
1127,Binghamton,100000,100000
1128,Birmingham So,100000,100000
1129,Boise St,100000,100000
1130,Boston College,100000,100000
1131,Boston Univ,100000,100000
1132,Bowling Green,100000,100000
1133,Bradley,100000,100000
1134,Brooklyn,100000,100000
1135,Brown,100000,100000
1136,Bryant,100000,100000
1137,Bucknell,70000,9000
1138,Buffalo,100000,10000
1139,Butler,30000,4500
1140,BYU,100000,100000
1141,C Michigan,100000,100000
1142,Cal Poly SLO,100000,100000
1143,California,100000,100000
1144,Campbell,100000,100000
1145,Canisius,100000,100000
1146,Cent Arkansas,100000,100000
1147,Centenary,100000,100000
1148,Central Conn,100000,100000
1149,Charleston So,100000,100000
1150,Charlotte,100000,100000
1151,Chattanooga,100000,100000
1152,Chicago St,100000,100000
1153,Cincinnati,1200,270
1154,Citadel,100000,100000
1155,Clemson,15000,1500
1156,Cleveland St,100000,100000
1157,Coastal Car,100000,100000
1158,Col Charleston,100000,9000
1159,Colgate,100000,100000
1160,Colorado,100000,100000
1161,Colorado St,100000,100000
1162,Columbia,100000,100000
1163,Connecticut,100000,100000
1164,Coppin St,100000,100000
1165,Cornell,100000,100000
1166,Creighton,35000,5000
1167,CS Bakersfield,100000,100000
1168,CS Fullerton,100000,10000
1169,CS Northridge,100000,100000
1170,CS Sacramento,100000,100000
1171,Dartmouth,100000,100000
1172,Davidson,25000,9000
1173,Dayton,100000,100000
1174,Delaware,100000,100000
1175,Delaware St,100000,100000
1176,Denver,100000,100000
1177,DePaul,100000,100000
1178,Detroit,100000,100000
1179,Drake,100000,100000
1180,Drexel,100000,100000
1181,Duke,800,180
1182,Duquesne,100000,100000
1183,E Illinois,100000,100000
1184,E Kentucky,100000,100000
1185,E Michigan,100000,100000
1186,E Washington,100000,100000
1187,East Carolina,100000,100000
1188,Edwardsville,100000,100000
1189,Elon,100000,100000
1190,ETSU,100000,100000
1191,Evansville,100000,100000
1192,F Dickinson,100000,100000
1193,Fairfield,100000,100000
1194,FL Atlantic,100000,100000
1195,FL Gulf Coast,100000,100000
1196,Florida,9000,1800
1197,Florida A&M,100000,100000
1198,Florida Intl,100000,100000
1199,Florida St,35000,2600
1200,Fordham,100000,100000
1201,Fresno St,100000,100000
1202,Furman,100000,100000
1203,G Washington,100000,100000
1204,Ga Southern,100000,100000
1205,Gardner Webb,100000,100000
1206,George Mason,100000,100000
1207,Georgetown,100000,100000
1208,Georgia,100000,100000
1209,Georgia St,100000,20000
1210,Georgia Tech,100000,100000
1211,Gonzaga,100000,100000
1212,Grambling,100000,100000
1213,Grand Canyon,100000,100000
1214,Hampton,100000,100000
1215,Hardin-Simmons,100000,100000
1216,Hartford,100000,100000
1217,Harvard,100000,100000
1218,Hawaii,100000,100000
1219,High Point,100000,100000
1220,Hofstra,100000,100000
1221,Holy Cross,100000,100000
1222,Houston,100000,100000
1223,Houston Bap,100000,100000
1224,Howard,100000,100000
1225,Idaho,100000,100000
1226,Idaho St,100000,100000
1227,IL Chicago,100000,100000
1228,Illinois,100000,100000
1229,Illinois St,100000,100000
1230,Incarnate Word,100000,100000
1231,Indiana,100000,100000
1232,Indiana St,100000,100000
1233,Iona,100000,15000
1234,Iowa,100000,100000
1235,Iowa St,100000,100000
1236,IPFW,100000,100000
1237,IUPUI,100000,100000
1238,Jackson St,100000,100000
1239,Jacksonville,100000,100000
1240,Jacksonville St,100000,100000
1241,James Madison,100000,100000
1242,Kansas,1000,250
1243,Kansas St,50000,7500
1244,Kennesaw,100000,100000
1245,Kent,100000,100000
1246,Kentucky,1600,750
1247,La Salle,100000,100000
1248,Lafayette,100000,100000
1249,Lamar,100000,100000
1250,Lehigh,100000,100000
1251,Liberty,100000,100000
1252,Lipscomb,100000,10000
1253,Long Beach St,100000,100000
1254,Long Island,100000,20000
1255,Longwood,100000,100000
1256,Louisiana Tech,100000,100000
1257,Louisville,100000,100000
1258,Loy Marymount,100000,100000
1259,Loyola MD,100000,100000
1260,Loyola-Chicago,25000,9000
1261,LSU,100000,100000
1262,MA Lowell,100000,100000
1263,Maine,100000,100000
1264,Manhattan,100000,100000
1265,Marist,100000,100000
1266,Marquette,100000,100000
1267,Marshall,50000,10000
1268,Maryland,100000,100000
1269,Massachusetts,100000,100000
1270,McNeese St,100000,100000
1271,MD E Shore,100000,100000
1272,Memphis,100000,100000
1273,Mercer,100000,100000
1274,Miami FL,15000,4000
1275,Miami OH,100000,100000
1276,Michigan,1400,350
1277,Michigan St,1200,230
1278,Minnesota,100000,100000
1279,Mississippi,100000,100000
1280,Mississippi St,100000,100000
1281,Missouri,4500,1400
1282,Missouri KC,100000,100000
1283,Missouri St,100000,100000
1284,Monmouth NJ,100000,100000
1285,Montana,50000,10000
1286,Montana St,100000,100000
1287,Morehead St,100000,100000
1288,Morgan St,100000,100000
1289,Morris Brown,100000,100000
1290,MS Valley St,100000,100000
1291,Mt St Mary's,100000,100000
1292,MTSU,100000,100000
1293,Murray St,100000,10000
1294,N Colorado,100000,100000
1295,N Dakota St,100000,100000
1296,N Illinois,100000,100000
1297,N Kentucky,100000,100000
1298,Navy,100000,100000
1299,NC A&T,100000,100000
1300,NC Central,100000,20000
1301,NC State,25000,6500
1302,NE Illinois,100000,100000
1303,NE Omaha,100000,100000
1304,Nebraska,100000,100000
1305,Nevada,50000,3000
1306,New Hampshire,100000,100000
1307,New Mexico,100000,100000
1308,New Mexico St,50000,8000
1309,New Orleans,100000,100000
1310,Niagara,100000,100000
1311,Nicholls St,100000,100000
1312,NJIT,100000,100000
1313,Norfolk St,100000,100000
1314,North Carolina,1400,300
1315,North Dakota,100000,100000
1316,North Florida,100000,100000
1317,North Texas,100000,100000
1318,Northeastern,100000,100000
1319,Northern Arizona,100000,100000
1320,Northern Iowa,100000,100000
1321,Northwestern,100000,100000
1322,Northwestern LA,100000,100000
1323,Notre Dame,100000,100000
1324,Oakland,100000,100000
1325,Ohio,100000,100000
1326,Ohio St,8000,1100
1327,Okla City,100000,100000
1328,Oklahoma,20000,6000
1329,Oklahoma St,100000,100000
1330,Old Dominion,100000,100000
1331,Oral Roberts,100000,100000
1332,Oregon,100000,100000
1333,Oregon St,100000,100000
1334,Pacific,100000,100000
1335,Penn,100000,15000
1336,Penn St,100000,100000
1337,Pepperdine,100000,100000
1338,Pittsburgh,100000,100000
1339,Portland,100000,100000
1340,Portland St,100000,100000
1341,Prairie View,100000,100000
1342,Presbyterian,100000,100000
1343,Princeton,100000,100000
1344,Providence,10000,3300
1345,Purdue,1200,270
1346,Quinnipiac,100000,100000
1347,Radford,100000,20000
1348,Rhode Island,15000,2800
1349,Rice,100000,100000
1350,Richmond,100000,100000
1351,Rider,100000,100000
1352,Robert Morris,100000,100000
1353,Rutgers,100000,100000
1354,S Carolina St,100000,100000
1355,S Dakota St,100000,6000
1356,S Illinois,100000,100000
1357,Sacred Heart,100000,100000
1358,Sam Houston St,100000,100000
1359,Samford,100000,100000
1360,San Diego,100000,100000
1361,San Diego St,20000,5000
1362,San Francisco,100000,100000
1363,San Jose St,100000,100000
1364,Santa Barbara,100000,100000
1365,Santa Clara,100000,100000
1366,Savannah St,100000,100000
1367,SC Upstate,100000,100000
1368,SE Louisiana,100000,100000
1369,SE Missouri St,100000,100000
1370,Seattle,100000,100000
1371,Seton Hall,25000,3000
1372,SF Austin,50000,7000
1373,Siena,100000,100000
1374,SMU,100000,100000
1375,South Alabama,100000,100000
1376,South Carolina,100000,100000
1377,South Dakota,100000,100000
1378,South Florida,100000,100000
1379,Southern Miss,100000,100000
1380,Southern Univ,100000,100000
1381,Southern Utah,100000,100000
1382,St Bonaventure,100000,7000
1383,St Francis NY,100000,100000
1384,St Francis PA,100000,100000
1385,St John's,100000,100000
1386,St Joseph's PA,100000,100000
1387,St Louis,100000,100000
1388,St Mary's CA,100000,100000
1389,St Peter's,100000,100000
1390,Stanford,100000,100000
1391,Stetson,100000,100000
1392,Stony Brook,100000,100000
1393,Syracuse,50000,8000
1394,TAM C. Christi,100000,100000
1395,TCU,15000,1400
1396,Temple,100000,100000
1397,Tennessee,4000,600
1398,Tennessee St,100000,100000
1399,Tennessee Tech,100000,100000
1400,Texas,25000,7500
1401,Texas A&M,15000,1200
1402,Texas St,100000,100000
1403,Texas Tech,4000,800
1404,TN Martin,100000,100000
1405,Toledo,100000,100000
1406,Towson,100000,100000
1407,Troy,100000,100000
1408,Tulane,100000,100000
1409,Tulsa,100000,100000
1410,UTRGV,100000,100000
1411,TX Southern,100000,20000
1412,UAB,100000,100000
1413,UC Davis,100000,100000
1414,UC Irvine,100000,100000
1415,UC Riverside,100000,100000
1416,UCF,100000,100000
1417,UCLA,30000,5000
1418,ULL,100000,100000
1419,ULM,100000,100000
1420,UMBC,100000,20000
1421,UNC Asheville,100000,100000
1422,UNC Greensboro,100000,10000
1423,UNC Wilmington,100000,100000
1424,UNLV,100000,100000
1425,USC,100000,100000
1426,UT Arlington,100000,100000
1427,UT San Antonio,100000,100000
1428,Utah,100000,100000
1429,Utah St,100000,100000
1430,Utah Valley,100000,100000
1431,UTEP,100000,100000
1432,Utica,100000,100000
1433,VA Commonwealth,100000,100000
1434,Valparaiso,100000,100000
1435,Vanderbilt,100000,100000
1436,Vermont,100000,100000
1437,Villanova,600,100
1438,Virginia,650,125
1439,Virginia Tech,50000,3000
1440,VMI,100000,100000
1441,W Carolina,100000,100000
1442,W Illinois,100000,100000
1443,WKU,100000,100000
1444,W Michigan,100000,100000
1445,W Salem St,100000,100000
1446,W Texas A&M,100000,100000
1447,Wagner,100000,100000
1448,Wake Forest,100000,100000
1449,Washington,100000,100000
1450,Washington St,100000,100000
1451,Weber St,100000,100000
1452,West Virginia,2500,650
1453,WI Green Bay,100000,100000
1454,WI Milwaukee,100000,100000
1455,Wichita St,4500,800
1456,William & Mary,100000,100000
1457,Winthrop,100000,100000
1458,Wisconsin,100000,100000
1459,Wofford,100000,100000
1460,Wright St,50000,10000
1461,Wyoming,100000,100000
1462,Xavier,1400,400
1463,Yale,100000,100000
1464,Youngstown St,100000,100000
